Employee_ID,Gender,Company_Type,WFH_Setup_Available,Designation,Resource_Allocation,Mental_Fatigue_Score,Burn_Rate
EMP0001,Male,Service,Yes,3,1,2.7,0.28
EMP0002,Female,Service,Yes,3,8,1.7,0.42
EMP0003,Female,Service,No,1,2,3.3,0.35
EMP0004,Female,Service,Yes,4,9,2.0,0.49
EMP0005,Male,Product,No,0,8,6.3,0.55
EMP0006,Male,Product,Yes,0,3,5.7,0.25
EMP0007,Male,Service,No,4,5,3.8,0.55
EMP0008,Female,Product,No,5,9,3.3,0.6
EMP0009,Female,Service,Yes,1,1,2.4,0.16
EMP0010,Female,Service,Yes,1,9,5.4,0.56
EMP0011,Male,Product,Yes,1,4,9.2,0.47
EMP0012,Female,Service,No,0,4,6.9,0.58
EMP0013,Female,Product,Yes,3,4,7.4,0.51
EMP0014,Male,Service,No,5,10,8.3,0.96
EMP0015,Male,Service,Yes,1,9,3.5,0.43
EMP0016,Male,Service,Yes,0,6,0.6,0.17
EMP0017,Male,Product,Yes,0,8,6.2,0.44
EMP0018,Male,Service,Yes,3,4,1.9,0.31
EMP0019,Male,Service,Yes,4,3,5.7,0.47
EMP0020,Male,Service,No,4,1,7.4,0.63
EMP0021,Female,Service,No,1,10,7.8,0.82
EMP0022,Male,Product,Yes,1,7,3.0,0.32
EMP0023,Male,Product,No,5,4,5.1,0.59
EMP0024,Male,Product,No,3,8,6.2,0.67
EMP0025,Male,Service,No,1,3,8.2,0.59
EMP0026,Female,Product,Yes,3,1,7.6,0.4
EMP0027,Male,Product,Yes,0,5,9.9,0.5
EMP0028,Male,Service,Yes,1,2,0.1,0.1
EMP0029,Female,Product,No,0,3,4.4,0.31
EMP0030,Male,Service,Yes,2,6,2.6,0.35
EMP0031,Female,Service,Yes,3,3,1.2,0.22
EMP0032,Male,Service,Yes,2,3,9.1,0.53
EMP0033,Male,Product,Yes,1,6,10.0,0.57
EMP0034,Female,Product,No,0,5,1.8,0.3
EMP0035,Female,Service,Yes,1,10,0.4,0.35
EMP0036,Female,Service,Yes,2,9,2.8,0.44
